rank,model,score,max_possible,percentage,embedding_dim
1,EMB32_NG10_CS2_BS64.pth,96,500,19.2,32
2,EMB64_NG20_CS3_BS32.pth,93,500,18.6,64
3,EMB64_NG15_CS2_BS64.pth,91,500,18.2,64
4,EMB64_NG10_CS2_BS64.pth,90,500,18.0,64
5,EMB64_NG20_CS2_BS64.pth,89,500,17.8,64
6,EMB64_NG10_CS2_BS128.pth,82,500,16.400000000000002,64
7,EMB256_NG10_CS2_BS64.pth,80,500,16.0,256
8,EMB64_NG10_CS3_BS64.pth,80,500,16.0,64
9,EMB128_NG10_CS2_BS64.pth,78,500,15.6,128
10,EMB64_NG10_CS4_BS64.pth,78,500,15.6,64
11,EMB64_NG10_CS2_BS32.pth,71,500,14.2,64
12,EMB64_NG5_CS2_BS64.pth,67,500,13.4,64
13,EMB64_NG10_CS2_BS256.pth,46,500,9.2,64
14,EMB64_NG10_CS1_BS64.pth,30,500,6.0,64
